index	kind	syllables	preview
1	heading	13	# བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཚིག་འགྲེལ་གཅེས་བཏུས།
2	heading	2	##  མཆོད་བརྗོད།
3	prose	224	༄༅། ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཚིག་འགྲེལ་གཅེས་བཏུས་བཞུགས་སོ།། ན་མོ་ག
4	heading	10	##  བསྟན་བཅོས་མཛད་པ་པོའི་རྣམ་ཐར་གྱི་ཆེ་བ།
5	prose	939	ཅི་འདི་མཛད་པ་པོ་སུ་ཞེ་ན། དེ་ནི་སློབ་དཔོན་ཆེན་པོ་ཞི་བའི་ལྷ་ཞེས་བྱ་སྟེ། དེ་ནི་སློབ
6	heading	9	##  བསྟན་བཅོས་འདི་ཉིད་ཇི་ལྟར་འཆད་པའི་ཚུལ།
7	heading	11	###  ཐོག་མར་དགེ་བ་བསྟན་བཅོས་ལ་འཇུག་པའི་བྱ་བ།
8	heading	3	#### མཚན་གྱི་དོན།
9	prose	22	རྒྱ་གར་སྐད་དུ། བོདྷི་ས་ཏྭ་ཙཱརྱ་ཨ་ཝ་ཏ་ར། བོད་སྐད་དུ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་
10	heading	3	#### འགྱུར་གྱི་ཕྱག
11	prose	24	སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ཞེས་པ་སྟེ། སྒྱུར་བྱེད་ཀྱི་པཎྜི
12	heading	7	###  བར་དུ་དགེ་བ་བསྟན་བཅོས་དངོས།
13	heading	3	#### ཕྱག་བྱ་བ།
14	prose	539	བསྟན་བཅོས་རྩོམ་པ་ལ་འཇུག་པའི་བྱ་བ། བསྟན་བཅོས་དངོས། བརྩམས་པའི་དགེ་བ་བསྔོ་བའོ།། དང་
15	heading	5	#### རྩོམ་པར་དམ་བཅའ་བ།
16	prose	147	ཏེ་ཞེས་ལྷག་མ་འདྲེན་པའི་ཚིག་བརྗོད་ནས་ཕྱག་བཙལ་ཏེ་ཅི་བྱེད་ཅེས་པའི་དོན་ནོ།། ལན་ནི། བ
17	heading	5	#### ཇི་ལྟར་རྩོམ་པའི་ཚུལ།
18	prose	679	སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད།། སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ།། དེ་ཕྱ
19	heading	11	#### དགོས་སོགས་ཆོས་ལྔ་བསྟན་པ་ཤུགས་བསྟན་གྱི་བཤད་ཚུལ།
20	prose	202	གང་བདེ་བར་གཤེགས་པའི་སྲས་ཀྱི་སྡོམ་པ་ནི་འདིར་བརྗོད་བྱ་ཡིན་ལ། དེ་ལ་འཇུག་པའི་བསྟན་བཅ
21	heading	3	#### བསྟན་བཅོས་དངོས།
22	prose	674	ལམ་གྱི་རྟེན་དལ་འབྱོར་བཤད་པ་དང༌། ལམ་གྱི་དངོས་གཞི་བྱང་ཆུབ་ཀྱི་སེམས་བཤད་པའོ།། དང་པོ
23	heading	7	#### བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་ཕན་ཡོན།
24	prose	3806	བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་ཕན་ཡོན་བཤད་པ། བྱང་ཆུབ་ཀྱི་སེམས་ཇི་ལྟར་བླང་ཚུལ། ཐོབ་པ་མི་ཉམས
25	heading	8	#### བྱང་ཆུབ་ཀྱི་སེམས་ཇི་ལྟར་བླང་ཚུལ།
26	prose	18688	གཉིས་པ་བྱང་ཆུབ་ཀྱི་སེམས་ཇི་ལྟར་བླང་ཚུལ་ལ་གཉིས། ལེའུ་སྔ་ཕྱིའི་མཚམས་སྦྱར་བ་དང༌། སེ
27	heading	12	#### གཉིས་པ་སེམས་ཀྱི་ཁ་ན་མ་ཐོ་བ་སྤང་བ་ནི།
28	prose	193	སེམས་ཀྱི་གླང་ཆེན་མྱོས་པ་ནི།། ཆོས་ལ་སེམས་པའི་ཀ་ཆེན་ལ།། ཇི་ལྟར་བཏགས་པ་མི་འཆོར་བར།།
29	heading	12	#### གསུམ་པ་མི་ནུས་པའི་དུས་བཏང་སྙོམས་སུ་བྱ་བ་ནི།
