index	trigger	syllables	flag	preview
1	terminal-particle	15		༄༅། ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཚིག་འགྲེལ་གཅེས་བཏུས་བཞུགས་སོ།།
2	line-end	5		ན་མོ་གུ་ར་ཝེ།
3	verse-stanza	33		འཐབ་རྩོད་གཡུལ་འཁྲུགས་རྒྱས་པའི་གནས་འདིར་ཡང༌།།↵བརྩེ་བའི་སྤྱན་དང་འཛུམ་པའི་ཞལ་རས་ལས།
4	verse-stanza	33		ཚིག་རྩུབ་ངག་འཁྱལ་གྱིས་ཁེངས་འཇིག་རྟེན་འདིར།།↵སྙན་པའི་གསུང་དང་བདེན་པའི་བསླབ་བྱ་ལས།
5	verse-stanza	33		ཆགས་སྡང་རྨོངས་པས་ཁྱབ་པའི་འཁོར་བ་འདིར།།↵བྱམས་དང་བརྩེ་བའི་ཐུགས་ཀྱིས་དགོངས་པ་ལས།།↵ཉ
6	verse-stanza	33		བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི།།↵དགོངས་འགྲེལ་ཐེག་ཆེན་ཆོས་ཀྱི་རྒྱ་མཚོ་ལ།།↵ད
7	line-end	78		ཐེག་པ་ཆེན་པོའི་བསྟན་བཅོས་ནམ་མཁའི་ཚད་ཀྱིས་གཞལ་དུ་མེད་པའི་ནང་ནས། འཕགས་པའི་ཡུལ་ན་ཉི
8	line-end	38		ཅི་འདི་མཛད་པ་པོ་སུ་ཞེ་ན། དེ་ནི་སློབ་དཔོན་ཆེན་པོ་ཞི་བའི་ལྷ་ཞེས་བྱ་སྟེ། དེ་ནི་སློབ
9	verse-stanza	25		རྒྱལ་བའི་བསྟན་ལ་བདག་ཉིད་ཆེ།།↵སྐྱེས་བུ་མང་པོ་བྱོན་མོད་ཀྱི།།↵ཞི་བའི་ལྷས་མཛད་དང་འདྲ
10	line-end	36		ཅེས་དང༌། ཤེར་འབྱུང་གི་འགྲེལ་པར། འདིར་འཕགས་པ་ཞི་བའི་ལྷ་དེ་གསུང་རབ་མཐའ་དག་གི་དོན་ག
11	verse-stanza	13		བསྟན་བཅོས་རྩོམ་ཞིང་མཁའ་ལ་གཤེགས།།↵བྱང་སེམས་བསླབ་པ་མཐར་ཕྱིན་པ།།
12	terminal-particle	18		ཤཱནྟ་དེ་ཝ་ཞེས་རྡོ་རྗེ་གདན་པ་ཆེན་པོའི་གྲུབ་ཐོབ་ཀྱི་འདུ་བར་བསྔགས་པ་དེའོ།།
13	line-end	15		དེའི་བྱོན་ཚུལ་ལ་ངོ་མཚར་གྱི་གཏམ་བདུན་གྱི་སྒོ་ནས་འཆད་པ་ནི།
14	verse-stanza	24		ལྷག་པའི་ལྷ་མཉེས་ནཱ་ལེཎྜའི།།↵བཀོད་པ་ཕུན་ཚོགས་རྩོད་པ་ཟློག།↵ཡ་མཚན་ཅན་དང་སྤྲང་པོ་དང༌
15	line-end	60		ཞེས་རྒྱལ་པོའི་སྲས་ཞི་བའི་གོ་ཆ་ཞེས་བྱ་བ་ཡིན་ལ། ཆུང་ངུ་ནས་རྣལ་འབྱོར་པ་ཞིག་ལ་འཇམ་དཔ
16	verse-stanza	33		བུ་གཅིག་འདི་ནི་ང་ཡི་སྟན་ཡིན་ཏེ།།↵ང་ནི་ཁྱོད་ཀྱི་དགེ་བའི་བཤེས་གཉེན་ཡིན།།↵ང་དང་ཁྱོད
17	terminal-particle	33		གསུང་བ་རྨིས་པས་རྒྱལ་སྲིད་སྤངས་ཏེ་བྲོས་ནས་ནཱ་ལེཎྜར་སྦྱོར་ལམ་པ་རྒྱལ་བའི་ལྷ་ལས་རབ་ཏ
18	terminal-particle	31		དེར་རྗེ་བཙུན་ལ་ཆོས་གསན་ཞིང་ཤིན་ཏུ་སྤྲོས་མེད་ཀྱི་སྤྱོད་པ་མཛད་པས་གཞན་དག་གིས་འདི་ལ་
19	terminal-particle	181		ཅེས་བྷུ་སུ་ཀུའམ་འདུ་ཤེས་གསུམ་པར་བསྒྲགས་ཏེ་གནས་ནས་དབྱུང་བའི་ཕྱིར། མདོ་འདོན་པར་བསྒ
20	terminal-particle	58		ཞེས་ཀྱང་ཟེར་ཞིང༌། བསླབ་བཏུས་མདོ་བཏུས་ཀྱང་མ་ཤེས་པས་སྤྱན་འདྲེན་དུ་བཏང་བ་ན་གཤེགས་སུ
21	line-end	92		དེ་ནས་མུ་སྟེགས་ཀྱི་རྩོད་པ་ཟློག་པ་དང༌། ཡ་མཚན་ཅན་ཞེས་པ་ངོ་ཚ་བའི་གནས། རྟག་ཆད་ཀྱི་ལྟ
22	ordinal-open	4		བཞི་པ་དང༌། ལྔ་པའོ།།
23	line-end	293		ཡང་རྒྱལ་པོ་ཆེན་པོ་ཞིག་གི་སྐུ་སྲུང་བ་མཛད་དེ། ཤིང་གི་རལ་གྲི་འོད་ཟེར་འགྱེད་པར་བསྟན་
24	line-end	22		རྒྱ་གར་སྐད་དུ། བོདྷི་ས་ཏྭ་ཙཱརྱ་ཨ་ཝ་ཏ་ར། བོད་སྐད་དུ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་
25	line-end	24		སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ཞེས་པ་སྟེ། སྒྱུར་བྱེད་ཀྱི་པཎྜི
26	terminal-particle	16		བསྟན་བཅོས་རྩོམ་པ་ལ་འཇུག་པའི་བྱ་བ། བསྟན་བཅོས་དངོས། བརྩམས་པའི་དགེ་བ་བསྔོ་བའོ།།
