index	syllables	pieces	method	preview
9	78	1	STAGE2_MANUAL	ཐེག་པ་ཆེན་པོའི་བསྟན་བཅོས་ནམ་མཁའི་ཚད་ཀྱིས་གཞལ་དུ་མེད་པའི་ནང་ན
18	60	1	STAGE2_MANUAL	ཞེས་རྒྱལ་པོའི་སྲས་ཞི་བའི་གོ་ཆ་ཞེས་བྱ་བ་ཡིན་ལ། ཆུང་ངུ་ནས་རྣལ་
22	181	1	STAGE2_MANUAL	ཅེས་བྷུ་སུ་ཀུའམ་འདུ་ཤེས་གསུམ་པར་བསྒྲགས་ཏེ་གནས་ནས་དབྱུང་བའི་ཕ
23	58	1	STAGE2_MANUAL	ཞེས་ཀྱང་ཟེར་ཞིང༌། བསླབ་བཏུས་མདོ་བཏུས་ཀྱང་མ་ཤེས་པས་སྤྱན་འདྲེན
24	92	1	STAGE2_MANUAL	དེ་ནས་མུ་སྟེགས་ཀྱི་རྩོད་པ་ཟློག་པ་དང༌། ཡ་མཚན་ཅན་ཞེས་པ་ངོ་ཚ་བའ
26	293	1	STAGE2_MANUAL	ཡང་རྒྱལ་པོ་ཆེན་པོ་ཞིག་གི་སྐུ་སྲུང་བ་མཛད་དེ། ཤིང་གི་རལ་གྲི་འོ
40	69	1	STAGE2_MANUAL	ཡུལ་ནི། མཛེས་པའམ་ལེགས་པ་དང༌། ཡོངས་སུ་རྫོགས་པ་དང༌། མཐར་ཐུག་པའ
48	138	1	STAGE2_MANUAL	ཆོས་ཀྱི་སྐུ་ཞེས་པའི་ཚིག་གི་ནུས་པ་གཅིག་གིས་ཆོས་དཀོན་མཆོག་ཡང་བ
56	76	1	STAGE2_MANUAL	ཞེས་པ་སྟེ། བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ཅེས་པས་བརྗོད་བྱ་ད
61	213	1	STAGE2_MANUAL	ཞེས་གསུངས་ཏེ། ཅི་ཁྱེད་ཅག་སྔོན་མ་གྲགས་པ་ཐོན་ཞིག་ཅེས་ཟེར་ན། སྔ
62	336	1	STAGE2_MANUAL	ཞེས་ཁེངས་པ་སྐྱུང་པའི་ཚུལ་གྱིས་དེ་དག་ལ་སྙིང་པོ་མེད་པར་བསྟན་ནས
63	57	1	STAGE2_MANUAL	དེ་ལྟར་ཁེངས་པ་བསྐྱུངས་པས་རྩོམ་པ་པོས་ཐམས་ཅད་མཁྱེན་པར་ཁས་མ་བླང
