section_line	heading	verse_id	root_line
244	### 禮敬	^1-1	5
273	### 立誓	^1-1	5
309	### 發心	^1-2	6
309	### 發心	^1-3	7
334	#### 暇滿人身	^1-4	8
350	#### 菩提心：成為菩薩的條件	^1-5	9
422	#### 菩提心：解開習性的結縛	^1-6	10
450	#### 菩提心：最有利益的法道	^1-7	11
450	#### 菩提心：最有利益的法道	^1-8	12
450	#### 菩提心：最有利益的法道	^1-9	13
450	#### 菩提心：最有利益的法道	^1-10	14
450	#### 菩提心：最有利益的法道	^1-11	15
584	#### 菩提心的利益	^1-12	16
584	#### 菩提心的利益	^1-13	17
584	#### 菩提心的利益	^1-14	18
584	#### 菩提心的利益	^1-15	19
584	#### 菩提心的利益	^1-16	20
584	#### 菩提心的利益	^1-17	21
584	#### 菩提心的利益	^1-18	22
584	#### 菩提心的利益	^1-19	23
584	#### 菩提心的利益	^1-20	24
584	#### 菩提心的利益	^1-21	25
584	#### 菩提心的利益	^1-22	26
584	#### 菩提心的利益	^1-26	30
584	#### 菩提心的利益	^1-27	31
584	#### 菩提心的利益	^1-28	32
584	#### 菩提心的利益	^1-29	33
584	#### 菩提心的利益	^1-30	34
584	#### 菩提心的利益	^1-31	35
790	#### 培養勝義菩提心的方式	^1-32	36
790	#### 培養勝義菩提心的方式	^1-33	37
790	#### 培養勝義菩提心的方式	^1-34	38
790	#### 培養勝義菩提心的方式	^1-35	39
790	#### 培養勝義菩提心的方式	^1-36	40
922	#### 供養諸佛菩薩	^2-1	42
922	#### 供養諸佛菩薩	^2-2	43
922	#### 供養諸佛菩薩	^2-3	44
922	#### 供養諸佛菩薩	^2-4	45
922	#### 供養諸佛菩薩	^2-5	46
922	#### 供養諸佛菩薩	^2-6	47
922	#### 供養諸佛菩薩	^2-7	48
922	#### 供養諸佛菩薩	^2-8	49
922	#### 供養諸佛菩薩	^2-9	50
922	#### 供養諸佛菩薩	^2-10	51
922	#### 供養諸佛菩薩	^2-11	52
922	#### 供養諸佛菩薩	^2-12	53
922	#### 供養諸佛菩薩	^2-13	54
922	#### 供養諸佛菩薩	^2-14	55
922	#### 供養諸佛菩薩	^2-15	56
922	#### 供養諸佛菩薩	^2-16	57
922	#### 供養諸佛菩薩	^2-17	58
922	#### 供養諸佛菩薩	^2-18	59
922	#### 供養諸佛菩薩	^2-19	60
922	#### 供養諸佛菩薩	^2-20	61
922	#### 供養諸佛菩薩	^2-21	62
922	#### 供養諸佛菩薩	^2-22	63
922	#### 供養諸佛菩薩	^2-23	64
980	#### 皈依佛法僧	^2-24	65
980	#### 皈依佛法僧	^2-25	66
980	#### 皈依佛法僧	^2-26	67
1010	#### 懺悔罪業	^2-28	69
1010	#### 懺悔罪業	^2-29	70
1010	#### 懺悔罪業	^2-30	71
1010	#### 懺悔罪業	^2-31	72
1010	#### 懺悔罪業	^2-32	73
1010	#### 懺悔罪業	^2-33	74
1010	#### 懺悔罪業	^2-34	75
1010	#### 懺悔罪業	^2-35	76
1010	#### 懺悔罪業	^2-36	77
1010	#### 懺悔罪業	^2-37	78
1010	#### 懺悔罪業	^2-38	79
1010	#### 懺悔罪業	^2-39	80
1010	#### 懺悔罪業	^2-40	81
1010	#### 懺悔罪業	^2-41	82
1010	#### 懺悔罪業	^2-42	83
1010	#### 懺悔罪業	^2-43	84
1010	#### 懺悔罪業	^2-44	85
1010	#### 懺悔罪業	^2-45	86
1010	#### 懺悔罪業	^2-46	87
1010	#### 懺悔罪業	^2-47	88
1010	#### 懺悔罪業	^2-51	92
1010	#### 懺悔罪業	^2-52	93
1010	#### 懺悔罪業	^2-53	94
1010	#### 懺悔罪業	^2-54	95
1010	#### 懺悔罪業	^2-55	96
1010	#### 懺悔罪業	^2-56	97
1010	#### 懺悔罪業	^2-57	98
1010	#### 懺悔罪業	^2-58	99
1010	#### 懺悔罪業	^2-59	100
1010	#### 懺悔罪業	^2-60	101
1010	#### 懺悔罪業	^2-61	102
1010	#### 懺悔罪業	^2-62	103
1010	#### 懺悔罪業	^2-63	104
1010	#### 懺悔罪業	^2-64	105
1010	#### 懺悔罪業	^2-65	106
