Type རྒྱུ་ཆའི་རིགས།,Title མཚན་བྱང་།,Author name མཛད་པ་པོ།,Resource id ,Website link བརྩམས་ཆོས་དྲ་ཐག,yes/no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་ཤེས་རབ་ལེའུའི་ཚིག་འགྲེལ་ཆོས་ཀྱི་དབང་པོའི་བསྡུས་དོན་གསལ་བྱེད།,པད་ནོར ༠༢་ཐུབ་བསྟན་ཆོས་ཀྱི་གླང་པོ།,R03A00BBB,http://purl.bdrc.io/resource/WA0XLEAD049B52F28,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་སྒོམ་རིམ་དང་སྤྱོད་འཇུག་ཚིག་འགྲེལ།,མཁན་པོ་ཀུན་དཔལ།,R4B4DD907,http://purl.bdrc.io/resource/WA3CN22828,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་མཆོད་བརྗོད་ཀྱི་ཚིག་འགྲེལ་བློ་གསར་མགུལ་རྒྱན།,འབྲུག་རྗེ་མཁན་པོ ༦༩་དགེ་འདུན་རིན་ཆེན།,R4B22B505,http://purl.bdrc.io/resource/WA0XL0A163CC6198F,no,
འགྲེལ་བ། {ཡི་གེ},སྨོན་ལམ་ལྔ་འགྲེལ་ལས། སྤྱོད་འཇུག་སྨོན་འགྲེལ་སེམས་དཔའི་བཞེད་དོན ༼སྤྱོད་འཇུག་སྨོན་འགྲེལ༽,སྨན་སྡོང་མཚམས་པ་ཀརྨ་ངེས་དོན་བསྟན་རྒྱས།,R4C04B9F4,http://purl.bdrc.io/resource/WA0XL9635E7E4AA4B,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་གི་བཤད་པའི་ཟིན་ཐོ་ཞལ་ལུང་བདུད་རྩིའི་ཟེགས་མ། ,ཤེས་རབ་རྒྱ་མཚོ།,R4C5EEB1E,https://library.bdrc.io/show/bdr:MW1NLM162?part=bdr:MW1NLM162_O1NLM162_009,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་གི་འགྲེལ་པ་ལེགས་པར་བཤད་པའི་རྒྱ་མཚོ།,རྒྱལ་སྲས་ཐོགས་མེད་བཟང་པོ།,R4CE7F499,http://purl.bdrc.io/resource/WA1KG11957,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་གི་འགྲེལ་པ་ཚིག་ཉུང་དོན་གསལ།,ལམ་རིམ་པ་ངག་དབང་ཕུན་ཚོགས།,R4D4D9F34,http://purl.bdrc.io/resource/WA19639,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་འགྲེལ་བཤད་རྒྱལ་སྲས་རྒྱ་མཚོའི་ཡོན་ཏན་རིན་པོ་ཆེ་མི་ཟད་འཇོ་བའི་བུམ་བཟང་།,དྷཱརྨ་ཀིརྟི་ཀུན་བཟང་བསོད་ནམས།,R7F788F87,http://purl.bdrc.io/resource/WA0XL552C599021F7,no,Tupten Choedak
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཚིག་དོན་ཀུན་གསལ་བར་བྱེད་པ་བསྐལ་བཟང་འཇུག་ངོགས།,དགེ་སློང་གདུགས་དཀར་སྐྱབས།,R8A551D21,http://purl.bdrc.io/resource/MW1NLM288,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་པའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཊཱིཀྐ་རིན་པོ་ཆེའི་ཕྲེང་བ།,རྒྱལ་མཁན་པོ་གྲགས་པ་རྒྱལ་མཚན།,R8B305837,http://purl.bdrc.io/resource/WA4CZ74200,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་རྣམ་བཤད་རྒྱལ་སྲས་འཇུག་ངོགས་ལས་རྩ་འགྲེལ་སོ་སོར་འབྱེད་པ་ནག་པོ་འགྲོ་ཤེས།,ཏྲེ་ཧོར་ཁང་གསར་བློ་བཟང་ཚུལ་ཁྲིམས་བསྟན་པའི་རྒྱལ་མཚན།,R8BF12481,http://purl.bdrc.io/resource/WA0XL846C97B5FBE1,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་འབྲུ་འགྲེལ།,ཨ་འཛི་ནོར་བུ་དབང་རྒྱལ།,R8F38D155,http://purl.bdrc.io/resource/WA0XL60FBEB493C5A,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་དཀའ་འགྲེལ།,པཎྜི་ཏ་བཻ་རོ་ཙ་ན་ར་ཥ།,R9ACAADC9,http://purl.bdrc.io/resource/WA0RT3906,no,D3872-final
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བཤད་པ།,ཏི་པཾ་ཀ་ར་ཤྲཱི་ཛྙཱ།,R9D53F009,http://purl.bdrc.io/resource/WA0RT3936,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་རྣམ་པར་བཤད་པའི་དཀའ་འགྲེལ།,ནག་པོ་པ།,R9DCD3008།,http://purl.bdrc.io/resource/WA0RT3218,no,D3873  We will need work on it. 
བསྡུས་དོན།,སྤྱོད་འཇུག་གི་བསྡུས་དོན་མཁས་པའི་མགུལ་རྒྱན།,སྤྱན་སྔ་བློ་གྲོས་རྒྱལ་མཚན།,R12AEE554,http://purl.bdrc.io/resource/WA0XL9B37D5AA0C6E,no,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བསྡུས་དོན།,འཇམ་དབྱངས་ཀུན་དགའ།,R15AF11F8,http://purl.bdrc.io/resource/WA0XL6E55AC487F4A,no,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་གཞུང་བསྡུས་དོན་གསལ་བའི་མེ་ལོང་ལྟར་རྣམ་པར་བཤད་པ་ཀུན་གསལ་ཉི་མའི་དཀྱིལ་འཁོར།（༡）,ཨ་སྐྱོང་མཁན་པོ་བློ་བཟང་རྡོ་རྗེ།,R21F04031,http://purl.bdrc.io/resource/WA0XL3940CFFD6562,no,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་གཞུང་བསྡུས་དོན་གསལ་བའི་མེད་ལོང་ལྟར་རྣམ་པར་བཤད་པ་ཀུན་གསལ་ཉི་མའི་དཀྱིལ་འཁོར། ༼༢༽,ཨ་སྐྱོང་མཁན་པོ་བློ་བཟང་རྡོ་རྗེ།,R24FFDA50,http://purl.bdrc.io/resource/WA0XL7AF3617FF935,no,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བསྡུས་དོན་ཤཱཀྱའི་དགེ་སློང་ཆོས་ཀྱི་སེང་གེས་སྦྱར་བ།,ཉང་བྲན་ཆོས་ཀྱི་སེངྒེ,R29EC79E4,http://purl.bdrc.io/resource/WA2KG5026,no,
བསྡུས་དོན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་བསྡུས་དོན།,བུ་སྟོན་རིན་ཆེན་གྲུབ།,R33D0D600,http://purl.bdrc.io/resource/WA0XLC82B1135AE34,no,
རྒྱུ་ཆ་གཞན།,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ཟིན་བྲིས་འཇམ་དཔལ་ཞལ་ལུང་།,ལྷོ་པ་ཀུན་མཁྱེན་རིན་ཆེན་དཔལ།,R34ED3E7C,http://purl.bdrc.io/resource/WA0XL466C5B22E5CF,no,
འགྲེལ་བ། {ཡི་གེ},གསང་ཕུ་བློ་གྲོས་མཚུངས་མེད་ཀྱིས་མཛད་པའི་སྤྱོད་འཇུག་རྣམ་བཤད་རིན་ཆེན་སྣང་བ།,གཉལ་བ་བློ་གྲོས་མཚུངས་མེད།,R38E3806D,http://purl.bdrc.io/resource/WA0XL03EAFCD91717,no,
བསྡུས་དོན།,སྤྱོད་འཇུག་གི་བསྡུས་དོན།,སློབ་དཔོན་བསོད་ནམས་རྩེ་མོ།,R39BA0944,http://purl.bdrc.io/resource/WA0XLE049A5879C5C,no,
བསྡུས་དོན།,སྤྱོད་འཇུག་གི་བསྡུས་དོན་དང་སློབ་དཔོན་ཞི་བ་ལྷའི་ལོ་རྒྱུས།,,R39DE8F35,http://purl.bdrc.io/resource/WA0XLDD71AEEFC04B,no,
བསྡུས་དོན།,དགེ་སློང་ཕྱྭ་པ་ཆོས་ཀྱི་སེང་གེས་མཛད་པའི་སྤྱོད་འཇུག་བསྡུས་དོན།,ཕྱྭ་པ་ཆོས་ཀྱི་སེངྒེ,R40C82879,http://purl.bdrc.io/resource/WA0XL35285BBD15E4,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་ཤེས་རབ་ལེའུའི་དཀའ་འགྲེལ་ལུང་རིགས་འོད་སྣང་།,གླག་བླ་བསོད་ནམས་ཆོས་འགྲུབ།,R42C4BA6D,http://purl.bdrc.io/resource/WA0XLD4ECB2128610,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་ལེའུ་དགུ་པའི་འགྲེལ་པ་ཟབ་དོན་ལྟ་བའི་མིག་གཅིག་རྟེན་འབྱུང་གཏམ་གྱི་རིན་ཆེན།,བློ་བཟང་དམ་ཆོས་རྒྱ་མཚོ།,R43F069C2,http://purl.bdrc.io/resource/WA0XLC992F5B9802F,no,
རྒྱུ་ཆ་གཞན།,སྤྱོད་འཇུག་ཟིན་བྲིས།,ཕ་བོང་ཁ་པ་བདེ་ཆེན་སྙིང་པོ།,R45A76210,http://purl.bdrc.io/resource/WA0XLCF09045B80F3,no,
འགྲེལ་བ། {ཡི་གེ},རྒྱལ་སྲས་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་ལ་འཇུག་པའི་ཤེ་རབ་ལེའུའི་རྣམ་བཤད་རིགས་པའི་སྒོ་འབྱེད།,ཐུབ་བསྟན་དགེ་ལེགས་རྒྱ་མཚོ།,R51A60C07,http://purl.bdrc.io/resource/WA0XLE7537E338226,no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་གི་རྣམ་པར་བཤད་པ་དམ་པའི་ཞལ་ལུང་རྨོངས་པའི་མུན་སེལ།,འགྱུར་མེད་རྡོ་རྗེ།,R54BF1B1F,http://purl.bdrc.io/resource/WA0XLF8BB1BD5B5F1,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་འགྲེལ་པ་ལེགས་པར་བཤད་པ།,རཀ་ར་ཐུབ་བསྟན་ཆོས་དར།,R55F056EF,http://purl.bdrc.io/resource/WA1KG4942,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་འགྲེལ་པ།,གྲོ་སྟོན་བདུད་རྩི་གྲགས།,R59DCB9EB,http://purl.bdrc.io/resource/WA0XLCF93D1D8B59B,no,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་འགྲེལ་པ་ལེགས་པར་བཤད་པའི་རྒྱ་མཚོ།,,R71C844BB,http://purl.bdrc.io/resource/WA0XL4F4C7E40FFB8,no,
